FileName,x1,y1,x2,y2,class
1.png,770,946,2070,2973,table
2.png,270,1653,2280,2580,table
3.png,303,343,2273,2953,table
4.png,664,1782,1814,2076,table
5.png,704,432,1744,1552,table
5.png,682,1740,1800,2440,table
6.png,326,413,2106,1616,table
6.png,760,1843,1643,2393,table
7.png,310,338,2310,912,table
7.png,754,1184,1798,1514,table
8.png,590,366,1940,1520,table
8.png,368,1928,2140,2566,table
9.png,374,384,2102,1392,table
10.png,933,426,2130,1506,table
11.png,590,460,2060,2113,table
12.png,576,440,2106,2130,table
13.png,383,523,2920,2010,table
14.png,526,526,3100,1943,table
15.png,665,330,2165,3060,table
16.png,93,556,2450,2816,table
17.png,340,540,2323,1530,table
18.png,313,483,2323,3000,table
19.png,220,343,2956,1826,table
20.png,340,510,2226,2973,table
21.png,330,353,2293,2793,table
22.png,306,323,2276,1913,table
23.png,393,376,2376,1260,table
24.png,413,480,2856,1756,table
25.png,256,523,2200,3013,table
26.png,373,480,2280,1823,table
27.png,836,2356,1630,2796,table
27.png,1656,2324,2428,2556,table
28.png,300,523,1990,783,table
29.png,363,673,2456,1963,table
29.png,370,2056,2400,2880,table
30.png,430,478,2262,964,table
30.png,268,1178,2198,1600,table
31.png,1342,740,2362,2002,table
32.png,366,1003,1580,1350,table
33.png,538,484,2164,998,table
34.png,236,513,2116,1163,table
34.png,220,2220,2120,2823,table
35.png,350,1000,2170,2476,table
36.png,676,390,2340,2480,table
37.png,230,396,2266,2906,table
38.png,626,526,1906,2456,table
39.png,280,486,2960,1823,table
40.png,360,2526,2336,2993,table
41.png,582,464,2694,1666,table
42.png,436,443,2520,2790,table
43.png,403,726,2026,2623,table
44.png,1082,422,2418,846,table
44.png,1102,2054,2364,2434,table
45.png,344,536,1656,852,table
45.png,352,1058,1668,1364,table
46.png,380,806,2976,1683,table
47.png,313,390,1946,2800,table
48.png,456,556,2088,1478,table
49.png,116,676,2193,1533,table
49.png,100,1638,2144,2760,table
50.png,243,216,2326,2930,table
51.png,206,616,3010,1200,table
52.png,110,430,2990,1883,table
53.png,403,553,2933,2046,table
54.png,540,723,2833,1836,table
55.png,414,382,2458,1458,table
56.png,316,428,2346,1418,table
57.png,1412,1810,2490,2882,table
58.png,166,393,2230,3003,table
59.png,266,233,2313,2940,table
60.png,176,1400,1514,2126,table
61.png,382,2242,2062,2850,table
62.png,213,796,2200,1256,table
63.png,180,350,3083,2050,table
64.png,300,590,3090,1323,table
65.png,270,264,2194,1414,table
66.png,286,430,3093,790,table
67.png,205,630,2250,3025,table
68.png,266,150,1923,976,table
69.png,263,460,2956,2086,table
70.png,586,960,1010,1640,table
71.png,293,826,1983,1280,table
72.png,353,360,2160,2733,table
73.png,326,620,2060,2486,table
74.png,460,983,2086,1313,table
75.png,630,500,2030,1763,table
76.png,260,345,2280,3080,table
77.png,708,384,2040,1970,table
78.png,116,203,1703,2496,table
79.png,1348,1968,2208,2920,table
80.png,110,344,2398,1010,table
81.png,296,453,2353,1543,table
81.png,303,1583,2346,2573,table
82.png,446,1033,2760,1770,table
83.png,186,1978,2292,3012,table
84.png,63,423,2386,2753,table
85.png,98,144,2348,712,table
85.png,98,1172,1188,1810,table
85.png,1240,1746,2334,2156,table
86.png,1211,1990,2277,2302,table
87.png,308,312,2252,1024,table
87.png,302,2204,2240,2600,table
88.png,150,600,2132,872,table
88.png,118,2096,2124,2678,table
89.png,243,250,2343,2906,table
90.png,126,433,3100,1876,table
91.png,260,354,2352,1454,table
92.png,163,826,2216,1646,table
93.png,166,700,2186,1960,table
94.png,368,502,2426,1960,table
95.png,150,666,3076,1590,table
96.png,164,1880,1140,2456,table
97.png,515,395,2055,3020,table
98.png,533,396,2020,1520,table
99.png,500,983,2030,1973,table
100.png,300,363,2180,1570,table
101.png,196,383,2226,2870,table
102.png,220,386,2203,1333,table
103.png,421,381,1404,1284,table
104.png,303,293,2076,766,table
105.png,576,776,2116,2546,table
106.png,300,255,2355,1165,table
106.png,340,1836,2343,2493,table
107.png,256,1070,2276,2833,table
108.png,330,1280,2420,2703,table
109.png,292,400,2284,1014,table
110.png,1324,1246,2446,1804,table
111.png,346,216,2210,800,table
111.png,1360,1066,2293,1566,table
112.png,680,228,1890,668,table
112.png,774,958,1822,1408,table
113.png,428,644,2152,1486,table
114.png,338,470,1422,1026,table
115.png,414,122,2098,696,table
115.png,412,710,2240,2296,table
116.png,296,446,2200,1044,table
116.png,288,1060,2242,2722,table
117.png,773,456,1946,2056,table
117.png,926,2356,1890,2870,table
118.png,433,486,2196,2816,table
119.png,434,348,2272,1080,table
120.png,434,426,2200,962,table
121.png,268,374,1082,714,table
122.png,136,2588,1172,3028,table
123.png,356,560,2123,2746,table
124.png,423,616,1826,2013,table
125.png,456,610,1290,924,table
126.png,286,484,1456,762,table
126.png,280,1110,1514,1500,table
126.png,1898,392,3164,754,table
127.png,270,706,2836,1930,table
128.png,590,486,2143,1213,table
128.png,216,1786,2320,2666,table
129.png,333,520,2793,1320,table
130.png,290,510,2060,2915,table
131.png,430,1073,2833,2126,table
132.png,353,560,2433,3013,table
133.png,253,440,2256,1793,table
133.png,250,2016,2263,2693,table
134.png,270,1606,2223,2153,table
135.png,613,1436,2173,3006,table
136.png,358,266,1630,666,table
137.png,230,438,2184,878,table
138.png,430,1636,1823,1993,table
139.png,150,516,2146,2090,table
140.png,360,473,2143,2373,table
141.png,273,346,2223,2260,table
142.png,383,620,1806,2010,table
143.png,870,250,2000,706,table
143.png,993,1403,1890,1840,table
143.png,993,2093,1900,2496,table
144.png,276,473,2796,2263,table
145.png,436,350,2776,2280,table
146.png,466,423,2773,2223,table
147.png,416,366,2730,2313,table
148.png,320,1226,2050,1596,table
149.png,536,784,1548,1192,table
149.png,520,1642,1530,2036,table
150.png,226,350,2916,2173,table
151.png,356,753,2193,2370,table
152.png,702,2026,1942,2628,table
153.png,283,240,2126,2810,table
154.png,350,783,2980,1663,table
155.png,1008,520,2278,1666,table
156.png,700,723,3020,1410,table
157.png,453,290,2366,3013,table
158.png,276,490,2290,2616,table
159.png,190,480,2260,2800,table
160.png,252,402,2432,1042,table
161.png,270,1413,2286,2033,table
162.png,416,296,2213,2126,table
163.png,45,90,2355,3045,table
164.png,376,598,2140,1498,table
165.png,150,410,2356,2906,table
166.png,304,1006,1040,1588,table
166.png,302,1626,1804,2502,table
167.png,265,295,2305,2780,table
168.png,266,210,2320,2670,table
169.png,290,393,2333,2770,table
170.png,246,176,2486,770,table
171.png,305,555,2325,2645,table
172.png,566,270,2403,2526,table
173.png,213,380,2240,2356,table
174.png,256,533,2506,3123,table
175.png,333,476,2300,2540,table
176.png,354,512,2074,1214,table
177.png,340,546,2353,1123,table
178.png,350,433,2240,2706,table
179.png,323,833,2340,2453,table
180.png,586,1866,1650,2853,table
181.png,343,580,3106,2200,table
182.png,116,680,2310,2596,table
183.png,280,300,2236,2900,table
